id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
pos_prescription_knk.access_past_medical_history,access_past_medical_history,pos_prescription_knk.model_past_medical_history,base.group_user,1,1,1,1
pos_prescription_knk.access_symptom_config,access_symptom_config,pos_prescription_knk.model_symptom_config,base.group_user,1,1,1,1
pos_prescription_knk.access_result_config,access_result_config,pos_prescription_knk.model_result_config,base.group_user,1,1,1,1

pos_prescription_knk.access_medication_history,access_medication_history,pos_prescription_knk.model_medication_history,base.group_user,1,1,1,1

pos_prescription_knk.access_family_history_config,access_family_history_config,pos_prescription_knk.model_family_history_config,base.group_user,1,1,1,1
pos_prescription_knk.access_family_history_result,access_family_history_result,pos_prescription_knk.model_family_history_result,base.group_user,1,1,1,1

pos_prescription_knk.access_family_history,access_family_history,pos_prescription_knk.model_family_history,base.group_user,1,1,1,1

pos_prescription_knk.access_social_history_config,access_social_history_config,pos_prescription_knk.model_social_history_config,base.group_user,1,1,1,1
pos_prescription_knk.access_social_history_result,access_social_history_result,pos_prescription_knk.model_social_history_result,base.group_user,1,1,1,1

pos_prescription_knk.access_social_history,access_social_history,pos_prescription_knk.model_social_history,base.group_user,1,1,1,1

pos_prescription_knk.access_procedure_config,access_procedure_config,pos_prescription_knk.model_procedure_config,base.group_user,1,1,1,1
pos_prescription_knk.access_procedure_history,access_procedure_history,pos_prescription_knk.model_procedure_history,base.group_user,1,1,1,1

pos_prescription_knk.access_complain_image_line,access_complain_image_line,pos_prescription_knk.model_complain_image_line,base.group_user,1,1,1,1
pos_prescription_knk.access_complaint_image_select_wizard,access_complaint_image_select_wizard,pos_prescription_knk.model_complaint_image_select_wizard,base.group_user,1,1,1,1
pos_prescription_knk.access_complaint_image_select_wizard_line,access_complaint_image_select_wizard_line,pos_prescription_knk.model_complaint_image_select_wizard_line,base.group_user,1,1,1,1

pos_prescription_knk.access_history_category,access_history_category,pos_prescription_knk.model_history_category,base.group_user,1,1,1,1

pos_prescription_knk.access_medicine_type,access_medicine_type,pos_prescription_knk.model_medicine_type,base.group_user,1,1,1,1
pos_prescription_knk.access_product_type,access_product_type,pos_prescription_knk.model_product_type,base.group_user,1,1,1,1
pos_prescription_knk.access_interaction_interaction,access_interaction_interaction,pos_prescription_knk.model_interaction_interaction,base.group_user,1,1,1,1

pos_prescription_knk.access_res_partner_otp_wizard,access_res_partner_otp_wizard,pos_prescription_knk.model_res_partner_otp_wizard,base.group_user,1,1,1,1


access_gsc_motor_user,gsc.motor.response,model_gsc_motor_response,base.group_user,1,1,1,1
access_gsc_verbal_user,gsc.verbal.response,model_gsc_verbal_response,base.group_user,1,1,1,1
access_gsc_eye_user,gsc.eye.response,model_gsc_eye_response,base.group_user,1,1,1,1
access_gcs_score_line_user,gcs.score.line user,model_gcs_score_line,base.group_user,1,1,1,1

access_trigger_context,access_trigger_context,model_trigger_context,base.group_user,1,1,1,1
access_temporal_pattern,access_temporal_pattern,model_temporal_pattern,base.group_user,1,1,1,1
access_allergy_reaction_user,allergy.reaction user,model_allergy_reaction,base.group_user,1,1,1,0
access_red_flag_user,red.flag.indicator user,model_red_flag_indicator,base.group_user,1,1,1,0
access_physical_examination_line,Physical Examination Line,model_physical_examination_line,,1,1,1,1
access_exercise_instruction,exercise.instruction,model_exercise_instruction,,1,1,1,1
access_diagnosis_secondary_user,access_diagnosis_secondary_user,model_diagnosis_secondary,base.group_user,1,1,1,1
access_test_category_user,test.category access,model_test_category,base.group_user,1,1,1,1


pos_prescription_knk.access_vital_bmi_line,access_vital_bmi_line,pos_prescription_knk.model_vital_bmi_line,base.group_user,1,1,1,1


pos_prescription_knk.access_physical_general_condition,access_physical_general_condition,pos_prescription_knk.model_physical_general_condition,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_pallor,access_physical_pallor,pos_prescription_knk.model_physical_pallor,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_msk,access_physical_msk,pos_prescription_knk.model_physical_msk,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_edema,access_physical_edema,pos_prescription_knk.model_physical_edema,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_lymph_nodes,access_physical_lymph_nodes,pos_prescription_knk.model_physical_lymph_nodes,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_hydration,access_physical_hydration,pos_prescription_knk.model_physical_hydration,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_cvs,access_physical_cvs,pos_prescription_knk.model_physical_cvs,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_rs,access_physical_rs,pos_prescription_knk.model_physical_rs,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_abdomen,access_physical_abdomen,pos_prescription_knk.model_physical_abdomen,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_neuro,access_physical_neuro,pos_prescription_knk.model_physical_neuro,base.group_user,1,1,1,1
pos_prescription_knk.access_physical_ent,access_physical_ent,pos_prescription_knk.model_physical_ent,base.group_user,1,1,1,1
